position_pair,source_position,target_position,source_state_id,target_state_id,count,probability_from_source_within_position,basin_id,side,miss_count,control_count,mixed_label,source_band,target_band,source_R_face,target_R_face,source_front,target_front,source_chain_status,target_chain_status,source_transition_k,target_transition_k,source_residue32,target_residue32,bundle_string,delta_pattern,source_face,target_face,example_trajectory_ids
-3->-2,-3,-2,S013,S011,8,1.0,B003,mixed,4,4,mixed,32-63,16-31,32->30,18->14,lower_edge_front,near_exit_front,avoid_then_caught,avoid,2,4,0->30,18->14,all_features,band:32-63->16-31|R_before:32->18|R_after:30->14|transition_k:2->4|exit_distance:0->2|front:lower_edge_front->near_exit_front|chain_status:avoid_then_caught->avoid|residue16:0->14->2->14|residue32:0->30->18->14,32-63|R:32->30|k:2|d:0|lower_edge_front|avoid_then_caught|r32:0->30,16-31|R:18->14|k:4|d:2|near_exit_front|avoid|r32:18->14,miss:93260|control:50331|miss:373032|control:50331|miss:805887|control:50331|miss:981221|control:50331
-3->-2,-3,-2,S014,S010,24,1.0,B004,mixed,12,12,mixed,32-63,16-31,33->31,17->15,lower_edge_front,lower_edge_front,avoid_then_caught,avoid,2,2,1->31,17->15,band+R_before+R_after+chain_status+residue32,band:32-63->16-31|R_before:33->17|R_after:31->15|transition_k:2->2|exit_distance:1->1|front:lower_edge_front->lower_edge_front|chain_status:avoid_then_caught->avoid|residue16:1->15->1->15|residue32:1->31->17->15,32-63|R:33->31|k:2|d:1|lower_edge_front|avoid_then_caught|r32:1->31,16-31|R:17->15|k:2|d:1|lower_edge_front|avoid|r32:17->15,miss:50296|control:618657|miss:50298|control:618657|miss:4771|control:618657|miss:50270|control:618657|miss:50271|control:618657
-4->-3,-4,-3,S017,S012,40,1.0,B001,mixed,14,26,mixed,64-127,32-63,64->63,32->29,lower_edge_front,lower_edge_front,avoid_then_caught,avoid_then_caught,1,3,0->31,0->29,band+R_before+R_after+transition_k+residue16+residue32,band:64-127->32-63|R_before:64->32|R_after:63->29|transition_k:1->3|exit_distance:0->0|front:lower_edge_front->lower_edge_front|chain_status:avoid_then_caught->avoid_then_caught|residue16:0->15->0->13|residue32:0->31->0->29,64-127|R:64->63|k:1|d:0|lower_edge_front|avoid_then_caught|r32:0->31,32-63|R:32->29|k:3|d:0|lower_edge_front|avoid_then_caught|r32:0->29,control:4551|control:4551|control:4551|control:4551|control:4551|control:4551|control:4551|control:4551|control:4551|control:4551
-4->-3,-4,-3,S020,S012,1,1.0,B001,miss_only,1,0,miss_only,64-127,32-63,67->61,32->29,near_exit_front,lower_edge_front,avoid_then_caught,avoid_then_caught,6,3,3->29,0->29,all_except_chain_status,band:64-127->32-63|R_before:67->32|R_after:61->29|transition_k:6->3|exit_distance:3->0|front:near_exit_front->lower_edge_front|chain_status:avoid_then_caught->avoid_then_caught|residue16:3->13->0->13|residue32:3->29->0->29,64-127|R:67->61|k:6|d:3|near_exit_front|avoid_then_caught|r32:3->29,32-63|R:32->29|k:3|d:0|lower_edge_front|avoid_then_caught|r32:0->29,miss:5162
-4->-3,-4,-3,S021,S012,2,1.0,B001,miss_only,2,0,miss_only,64-127,32-63,67->62,32->29,near_exit_front,lower_edge_front,avoid_then_caught,avoid_then_caught,5,3,3->30,0->29,all_except_chain_status,band:64-127->32-63|R_before:67->32|R_after:62->29|transition_k:5->3|exit_distance:3->0|front:near_exit_front->lower_edge_front|chain_status:avoid_then_caught->avoid_then_caught|residue16:3->14->0->13|residue32:3->30->0->29,64-127|R:67->62|k:5|d:3|near_exit_front|avoid_then_caught|r32:3->30,32-63|R:32->29|k:3|d:0|lower_edge_front|avoid_then_caught|r32:0->29,miss:50172|miss:50173
-4->-3,-4,-3,S023,S012,2,1.0,B001,miss_only,2,0,miss_only,64-127,32-63,67->63,32->29,near_exit_front,lower_edge_front,avoid_then_caught,avoid_then_caught,4,3,3->31,0->29,all_except_chain_status,band:64-127->32-63|R_before:67->32|R_after:63->29|transition_k:4->3|exit_distance:3->0|front:near_exit_front->lower_edge_front|chain_status:avoid_then_caught->avoid_then_caught|residue16:3->15->0->13|residue32:3->31->0->29,64-127|R:67->63|k:4|d:3|near_exit_front|avoid_then_caught|r32:3->31,32-63|R:32->29|k:3|d:0|lower_edge_front|avoid_then_caught|r32:0->29,miss:50031|miss:763681
-4->-3,-4,-3,S026,S012,3,1.0,B001,miss_only,3,0,miss_only,64-127,32-63,68->63,32->29,near_exit_front,lower_edge_front,avoid,avoid_then_caught,5,3,4->31,0->29,all_features,band:64-127->32-63|R_before:68->32|R_after:63->29|transition_k:5->3|exit_distance:4->0|front:near_exit_front->lower_edge_front|chain_status:avoid->avoid_then_caught|residue16:4->15->0->13|residue32:4->31->0->29,64-127|R:68->63|k:5|d:4|near_exit_front|avoid|r32:4->31,32-63|R:32->29|k:3|d:0|lower_edge_front|avoid_then_caught|r32:0->29,miss:2289|miss:4578|miss:5152
-4->-3,-4,-3,S027,S012,1,1.0,B001,miss_only,1,0,miss_only,64-127,32-63,69->61,32->29,near_exit_front,lower_edge_front,avoid,avoid_then_caught,8,3,5->29,0->29,all_features,band:64-127->32-63|R_before:69->32|R_after:61->29|transition_k:8->3|exit_distance:5->0|front:near_exit_front->lower_edge_front|chain_status:avoid->avoid_then_caught|residue16:5->13->0->13|residue32:5->29->0->29,64-127|R:69->61|k:8|d:5|near_exit_front|avoid|r32:5->29,32-63|R:32->29|k:3|d:0|lower_edge_front|avoid_then_caught|r32:0->29,miss:618769
-4->-3,-4,-3,S029,S012,3,1.0,B001,miss_only,3,0,miss_only,64-127,32-63,70->63,32->29,near_exit_front,lower_edge_front,avoid,avoid_then_caught,7,3,6->31,0->29,all_features,band:64-127->32-63|R_before:70->32|R_after:63->29|transition_k:7->3|exit_distance:6->0|front:near_exit_front->lower_edge_front|chain_status:avoid->avoid_then_caught|residue16:6->15->0->13|residue32:6->31->0->29,64-127|R:70->63|k:7|d:6|near_exit_front|avoid|r32:6->31,32-63|R:32->29|k:3|d:0|lower_edge_front|avoid_then_caught|r32:0->29,miss:4579|miss:588592|miss:61239
-4->-3,-4,-3,S017,S013,8,1.0,B002,control_only,0,8,control_only,64-127,32-63,64->63,32->30,lower_edge_front,lower_edge_front,avoid_then_caught,avoid_then_caught,1,2,0->31,0->30,band+R_before+R_after+transition_k+residue16+residue32,band:64-127->32-63|R_before:64->32|R_after:63->30|transition_k:1->2|exit_distance:0->0|front:lower_edge_front->lower_edge_front|chain_status:avoid_then_caught->avoid_then_caught|residue16:0->15->0->14|residue32:0->31->0->30,64-127|R:64->63|k:1|d:0|lower_edge_front|avoid_then_caught|r32:0->31,32-63|R:32->30|k:2|d:0|lower_edge_front|avoid_then_caught|r32:0->30,control:555169|control:555169|control:555169|control:555169|control:555169|control:555169|control:555169|control:555169
-4->-3,-4,-3,S019,S013,2,1.0,B002,miss_only,2,0,miss_only,64-127,32-63,67->60,32->30,near_exit_front,lower_edge_front,avoid_then_caught,avoid_then_caught,7,2,3->28,0->30,all_except_chain_status,band:64-127->32-63|R_before:67->32|R_after:60->30|transition_k:7->2|exit_distance:3->0|front:near_exit_front->lower_edge_front|chain_status:avoid_then_caught->avoid_then_caught|residue16:3->12->0->14|residue32:3->28->0->30,64-127|R:67->60|k:7|d:3|near_exit_front|avoid_then_caught|r32:3->28,32-63|R:32->30|k:2|d:0|lower_edge_front|avoid_then_caught|r32:0->30,miss:50130|miss:50131
-4->-3,-4,-3,S021,S013,1,1.0,B002,miss_only,1,0,miss_only,64-127,32-63,67->62,32->30,near_exit_front,lower_edge_front,avoid_then_caught,avoid_then_caught,5,2,3->30,0->30,all_except_chain_status,band:64-127->32-63|R_before:67->32|R_after:62->30|transition_k:5->2|exit_distance:3->0|front:near_exit_front->lower_edge_front|chain_status:avoid_then_caught->avoid_then_caught|residue16:3->14->0->14|residue32:3->30->0->30,64-127|R:67->62|k:5|d:3|near_exit_front|avoid_then_caught|r32:3->30,32-63|R:32->30|k:2|d:0|lower_edge_front|avoid_then_caught|r32:0->30,miss:50139
-4->-3,-4,-3,S022,S013,1,1.0,B002,miss_only,1,0,miss_only,64-127,32-63,67->62,32->30,near_exit_front,lower_edge_front,caught,avoid_then_caught,5,2,3->30,0->30,all_features,band:64-127->32-63|R_before:67->32|R_after:62->30|transition_k:5->2|exit_distance:3->0|front:near_exit_front->lower_edge_front|chain_status:caught->avoid_then_caught|residue16:3->14->0->14|residue32:3->30->0->30,64-127|R:67->62|k:5|d:3|near_exit_front|caught|r32:3->30,32-63|R:32->30|k:2|d:0|lower_edge_front|avoid_then_caught|r32:0->30,miss:23797
